Matched name	Primary name	Type	Identifier	Peaktime	rank	Phenotypes
SMTN	SMTN	Homo sapiens gene	ENSP00000351593	M	85	
SGOL2	SGOL2	Homo sapiens gene	ENSP00000350447	G2/M	86	G2/M, M
SLBP	SLBP	Homo sapiens gene	ENSP00000417686	G1	87	S
ATL2	ATL2	Homo sapiens gene	ENSP00000368237	G2/M	88	
ANLN	ANLN	Homo sapiens gene	ENSP00000265748	M	89	G2/M, M
TROAP	TROAP	Homo sapiens gene	ENSP00000257909	M	90	
CKAP2L	CKAP2L	Homo sapiens gene	ENSP00000305204	G2	91	
NEK2	NEK2	Homo sapiens gene	ENSP00000355966	M	92	
CEP55	CEP55	Homo sapiens gene	ENSP00000360540	M	93	G2/M, M
CDCA5	CDCA5	Homo sapiens gene	ENSP00000275517	G2	94	G2/M, M
DEPDC1	DEPDC1	Homo sapiens gene	ENSP00000412292	M	95	
CCNB2	CCNB2	Homo sapiens gene	ENSP00000288207	M	96	
ANKRD36C	ANKRD36C	Homo sapiens gene	ENSP00000403302	G2	97	
E2F2	E2F2	Homo sapiens gene	ENSP00000355249	G1/S	98	
TTK	TTK	Homo sapiens gene	ENSP00000358813	G2	99	
ENSP00000372746	ENSP00000372746	Homo sapiens gene	ENSP00000372746	G2	100	
AURKB	AURKB	Homo sapiens gene	ENSP00000463999	G2	101	G2/M, M
POLD3	POLD3	Homo sapiens gene	ENSP00000263681	G1/S	102	
FOXM1	FOXM1	Homo sapiens gene	ENSP00000342307	G2/M	103	
CKAP5	CKAP5	Homo sapiens gene	ENSP00000432768	M	104	M
RFC4	RFC4	Homo sapiens gene	ENSP00000296273	G1/S	105	
LBR	LBR	Homo sapiens gene	ENSP00000272163	M	106	
BIRC3	BIRC3	Homo sapiens gene	ENSP00000263464	G2	107	
CDCA2	CDCA2	Homo sapiens gene	ENSP00000328228	G2	108	
NEIL3	NEIL3	Homo sapiens gene	ENSP00000264596	G2	109	
FZR1	FZR1	Homo sapiens gene	ENSP00000378529	G2	110	
HRSP12	HRSP12	Homo sapiens gene	ENSP00000254878	G2	111	
PCF11	PCF11	Homo sapiens gene	ENSP00000298281	M	112	S, M
OLR1	OLR1	Homo sapiens gene	ENSP00000309124	M	113	
MCM6	MCM6	Homo sapiens gene	ENSP00000264156	G1	114	
HSPA8	HSPA8	Homo sapiens gene	ENSP00000227378	G1	115	
HSPB8	HSPB8	Homo sapiens gene	ENSP00000281938	S	116	
SERPINB4	SERPINB4	Homo sapiens gene	ENSP00000343445	G1/S	117	
CDCA3	CDCA3	Homo sapiens gene	ENSP00000442068	G2/M	118	
HMGB2	HMGB2	Homo sapiens gene	ENSP00000296503	G2	119	
DCTPP1	DCTPP1	Homo sapiens gene	ENSP00000322524	G2	120
PBK	PBK	Homo sapiens gene	ENSP00000301905	G2/M	121	
IRAK1	IRAK1	Homo sapiens gene	ENSP00000358997	G2	122	
SHCBP1	SHCBP1	Homo sapiens gene	ENSP00000306473	G2/M	123	
LPP	LPP	Homo sapiens gene	ENSP00000318089	M	124	
FAM111B	FAM111B	Homo sapiens gene	ENSP00000341565	G1/S	125	
TTC38	TTC38	Homo sapiens gene	ENSP00000370419	G2/M	126	
KIF5B	KIF5B	Homo sapiens gene	ENSP00000307078	M	127	G1
ORC1	ORC1	Homo sapiens gene	ENSP00000360621	G1/S	128	
USP1	USP1	Homo sapiens gene	ENSP00000343526	S	129	
CDC25C	CDC25C	Homo sapiens gene	ENSP00000321656	G2	130	
H1F0	H1F0	Homo sapiens gene	ENSP00000344504	G2	131	
MIS18BP1	MIS18BP1	Homo sapiens gene	ENSP00000309790	G2	132	
PSMG3	PSMG3	Homo sapiens gene	ENSP00000252329	M	133	
E2F1	E2F1	Homo sapiens gene	ENSP00000345571	G1/S	134	
HBG2	HBG2	Homo sapiens gene	ENSP00000338082	M	135	
SLC17A2	SLC17A2	Homo sapiens gene	ENSP00000353677	M	136	
DDX11	DDX11	Homo sapiens gene	ENSP00000384703	S	137	
BTNL9	BTNL9	Homo sapiens gene	ENSP00000330200	G2/M	138	
CKS1B	CKS1B	Homo sapiens gene	ENSP00000311083	G2/M	139	
SAP30	SAP30	Homo sapiens gene	ENSP00000296504	G2	140	G2/M, M
C15orf23	C15orf23	Homo sapiens gene	ENSP00000249776	M	141	
SMC4	SMC4	Homo sapiens gene	ENSP00000341382	G2/M	142	G2/M, M
HN1	HN1	Homo sapiens gene	ENSP00000348316	G2/M	143	
TIMP1	TIMP1	Homo sapiens gene	ENSP00000218388	G2	144	
MZT1	MZT1	Homo sapiens gene	ENSP00000367049	M	145	
PLAG1	PLAG1	Homo sapiens gene	ENSP00000325546	M	146	
KBTBD2	KBTBD2	Homo sapiens gene	ENSP00000302586	M	147	
CDCA7	CDCA7	Homo sapiens gene	ENSP00000306968	G1	148	
IL6	IL6	Homo sapiens gene	ENSP00000258743	G2	149	
CNTROB	CNTROB	Homo sapiens gene	ENSP00000369614	G2/M	150	
SKP2	SKP2	Homo sapiens gene	ENSP00000274255	G1	151	
CTGF	CTGF	Homo sapiens gene	ENSP00000356954	non-periodic	152	
ECT2	ECT2	Homo sapiens gene	ENSP00000232458	M	153	G2/M, M
ANTXR1	ANTXR1	Homo sapiens gene	ENSP00000301945	G1	154	
BUB3	BUB3	Homo sapiens gene	ENSP00000357858	G2/M	155	
SCYL1	SCYL1	Homo sapiens gene	ENSP00000270176	G2	156	
LTBP3	LTBP3	Homo sapiens gene	ENSP00000301873	G2	157	
RCAN1	RCAN1	Homo sapiens gene	ENSP00000320768	G2/M	158	
IVNS1ABP	IVNS1ABP	Homo sapiens gene	ENSP00000356468	G1	159	
LIPH	LIPH	Homo sapiens gene	ENSP00000296252	S	160
ENSP00000373058	ENSP00000373058	Homo sapiens gene	ENSP00000373058	G2	161	
TUBB	TUBB	Homo sapiens gene	ENSP00000339001	G2	162	
WDR76	WDR76	Homo sapiens gene	ENSP00000263795	G1/S	163	
MELK	MELK	Homo sapiens gene	ENSP00000298048	G2	164	G1
CLSPN	CLSPN	Homo sapiens gene	ENSP00000312995	G1/S	165	
UBR7	UBR7	Homo sapiens gene	ENSP00000013070	G1/S	166	
TUBA1A	TUBA1A	Homo sapiens gene	ENSP00000301071	G2	167	
CENPL	CENPL	Homo sapiens gene	ENSP00000348527	G2	168	
